REGION_CODE,REGION_NAME,YEAR,MONTH,ZONE,AVG_TEMP_C,MAX_TEMP_C,MIN_TEMP_C,TEMP_RANGE_C,PRECIPITATION_MM,RAIN_DAYS,HEAVY_RAIN_DAYS,DROUGHT_INDEX,ELEVATION_M,DISTANCE_TO_COAST_KM
AR,Arusha,2000,1,Northern,22.91,25.5,20.31,5.19,696.7,13,0,0.16,920.2,469.3
AR,Arusha,2000,2,Northern,23.11,25.57,21.08,4.48,611.9,8,2,0.14,920.2,469.3
AR,Arusha,2000,3,Northern,22.61,25.19,18.69,6.49,1036.1,14,2,0.2,920.2,469.3
AR,Arusha,2000,4,Northern,21.91,24.96,18.65,6.31,1290.6,25,9,0.22,920.2,469.3
AR,Arusha,2000,5,Northern,20.91,24.17,17.64,6.52,866.4,13,3,0.19,920.2,469.3
AR,Arusha,2000,6,Northern,20.41,23.53,17.29,6.25,272.5,5,1,0.0,920.2,469.3
AR,Arusha,2000,7,Northern,19.91,23.01,16.99,6.02,102.8,2,0,0.0,920.2,469.3
AR,Arusha,2000,8,Northern,20.41,23.72,17.61,6.11,102.8,1,0,0.0,920.2,469.3
AR,Arusha,2000,9,Northern,21.41,25.87,18.11,7.76,187.6,2,0,0.0,920.2,469.3
AR,Arusha,2000,10,Northern,21.91,24.03,17.73,6.3,357.3,9,0,0.04,920.2,469.3
AR,Arusha,2000,11,Northern,22.41,26.6,19.54,7.06,611.9,9,2,0.14,920.2,469.3
AR,Arusha,2000,12,Northern,22.61,25.18,20.04,5.14,781.6,6,2,0.18,920.2,469.3
AR,Arusha,2001,1,Northern,23.65,27.07,19.47,7.59,637.5,10,0,0.57,920.2,469.3
AR,Arusha,2001,2,Northern,23.85,27.3,21.07,6.23,560.0,8,1,0.56,920.2,469.3
AR,Arusha,2001,3,Northern,23.35,27.26,21.47,5.79,947.2,13,3,0.61,920.2,469.3
AR,Arusha,2001,4,Northern,22.65,26.76,19.09,7.67,1179.5,23,5,0.63,920.2,469.3
AR,Arusha,2001,5,Northern,21.65,26.4,18.9,7.5,792.3,18,5,0.6,920.2,469.3
AR,Arusha,2001,6,Northern,21.15,24.5,17.78,6.72,250.3,6,0,0.37,920.2,469.3
AR,Arusha,2001,7,Northern,20.65,23.52,17.81,5.71,95.4,2,0,0.0,920.2,469.3
AR,Arusha,2001,8,Northern,21.15,24.92,18.67,6.26,95.4,0,0,0.0,920.2,469.3
AR,Arusha,2001,9,Northern,22.15,25.1,18.43,6.67,172.8,1,0,0.2,920.2,469.3
AR,Arusha,2001,10,Northern,22.65,26.27,20.35,5.92,327.7,5,0,0.45,920.2,469.3
AR,Arusha,2001,11,Northern,23.15,27.81,20.15,7.65,560.0,10,1,0.56,920.2,469.3
AR,Arusha,2001,12,Northern,23.35,26.06,19.44,6.62,714.9,8,0,0.59,920.2,469.3
AR,Arusha,2002,1,Northern,24.01,27.3,21.08,6.21,1089.3,17,4,0.0,920.2,469.3
AR,Arusha,2002,2,Northern,24.21,26.94,21.08,5.85,955.4,14,4,0.0,920.2,469.3
AR,Arusha,2002,3,Northern,23.71,27.03,20.49,6.55,1625.0,23,8,0.0,920.2,469.3
AR,Arusha,2002,4,Northern,23.01,26.7,20.9,5.8,2026.8,24,13,0.0,920.2,469.3
AR,Arusha,2002,5,Northern,22.01,25.83,19.59,6.25,1357.2,19,3,0.0,920.2,469.3
AR,Arusha,2002,6,Northern,21.51,24.36,18.98,5.38,419.7,7,0,0.0,920.2,469.3
AR,Arusha,2002,7,Northern,21.01,23.55,18.32,5.23,151.9,2,0,0.0,920.2,469.3
AR,Arusha,2002,8,Northern,21.51,24.8,17.74,7.06,151.9,4,0,0.0,920.2,469.3
AR,Arusha,2002,9,Northern,22.51,24.97,19.49,5.48,285.8,1,0,0.0,920.2,469.3
AR,Arusha,2002,10,Northern,23.01,27.06,20.1,6.97,553.6,10,1,0.0,920.2,469.3
AR,Arusha,2002,11,Northern,23.51,25.48,20.27,5.21,955.4,10,5,0.0,920.2,469.3
AR,Arusha,2002,12,Northern,23.71,25.58,20.06,5.52,1223.2,13,3,0.0,920.2,469.3
AR,Arusha,2003,1,Northern,22.58,25.77,19.39,6.39,562.4,5,0,1.09,920.2,469.3
AR,Arusha,2003,2,Northern,22.78,25.1,19.46,5.64,494.4,2,0,1.08,920.2,469.3
AR,Arusha,2003,3,Northern,22.28,24.69,17.25,7.44,834.6,13,3,1.14,920.2,469.3
AR,Arusha,2003,4,Northern,21.58,24.11,19.59,4.52,1038.8,15,3,1.15,920.2,469.3
AR,Arusha,2003,5,Northern,20.58,23.12,16.51,6.61,698.5,7,2,1.12,920.2,469.3
AR,Arusha,2003,6,Northern,20.08,22.95,16.65,6.3,222.1,5,0,0.89,920.2,469.3
AR,Arusha,2003,7,Northern,19.58,21.96,16.39,5.58,86.0,1,0,0.22,920.2,469.3
AR,Arusha,2003,8,Northern,20.08,23.11,17.34,5.78,86.0,0,0,0.22,920.2,469.3
AR,Arusha,2003,9,Northern,21.08,24.0,18.65,5.35,154.1,0,0,0.72,920.2,469.3
AR,Arusha,2003,10,Northern,21.58,23.75,19.24,4.51,290.2,1,1,0.97,920.2,469.3
AR,Arusha,2003,11,Northern,22.08,25.38,19.53,5.85,494.4,5,0,1.08,920.2,469.3
AR,Arusha,2003,12,Northern,22.28,24.86,19.66,5.21,630.5,8,1,1.11,920.2,469.3
AR,Arusha,2004,1,Northern,22.87,26.41,18.92,7.49,1050.0,14,2,0.0,920.2,469.3
AR,Arusha,2004,2,Northern,23.07,26.89,21.27,5.62,921.0,19,5,0.0,920.2,469.3
AR,Arusha,2004,3,Northern,22.57,25.85,18.98,6.87,1566.1,22,5,0.0,920.2,469.3
AR,Arusha,2004,4,Northern,21.87,23.78,18.69,5.08,1953.1,23,9,0.0,920.2,469.3
AR,Arusha,2004,5,Northern,20.87,23.92,18.96,4.95,1308.0,19,6,0.0,920.2,469.3
AR,Arusha,2004,6,Northern,20.37,24.38,17.48,6.9,405.0,7,1,0.0,920.2,469.3
AR,Arusha,2004,7,Northern,19.87,23.23,16.57,6.66,147.0,1,0,0.0,920.2,469.3
AR,Arusha,2004,8,Northern,20.37,23.53,17.94,5.59,147.0,2,0,0.0,920.2,469.3
AR,Arusha,2004,9,Northern,21.37,23.76,18.26,5.5,276.0,7,1,0.0,920.2,469.3
AR,Arusha,2004,10,Northern,21.87,24.3,19.26,5.04,534.0,9,1,0.0,920.2,469.3
AR,Arusha,2004,11,Northern,22.37,26.07,20.88,5.19,921.0,11,1,0.0,920.2,469.3
AR,Arusha,2004,12,Northern,22.57,26.18,20.28,5.9,1179.0,16,8,0.0,920.2,469.3
AR,Arusha,2005,1,Northern,23.27,25.48,20.74,4.74,488.5,8,1,1.61,920.2,469.3
AR,Arusha,2005,2,Northern,23.47,25.9,19.59,6.31,429.6,4,0,1.59,920.2,469.3
AR,Arusha,2005,3,Northern,22.97,28.22,20.21,8.0,723.7,10,2,1.65,920.2,469.3
AR,Arusha,2005,4,Northern,22.27,24.81,17.88,6.92,900.2,13,2,1.67,920.2,469.3
AR,Arusha,2005,5,Northern,21.27,23.63,19.21,4.42,606.1,4,0,1.63,920.2,469.3
AR,Arusha,2005,6,Northern,20.77,24.22,17.95,6.27,194.4,3,0,1.4,920.2,469.3
AR,Arusha,2005,7,Northern,20.27,23.71,17.6,6.1,76.8,0,0,0.74,920.2,469.3
AR,Arusha,2005,8,Northern,20.77,22.19,18.85,3.34,76.8,0,0,0.74,920.2,469.3
AR,Arusha,2005,9,Northern,21.77,24.98,19.29,5.69,135.6,2,0,1.23,920.2,469.3
AR,Arusha,2005,10,Northern,22.27,25.43,19.46,5.97,253.2,2,0,1.48,920.2,469.3
AR,Arusha,2005,11,Northern,22.77,25.02,19.04,5.98,429.6,6,0,1.59,920.2,469.3
AR,Arusha,2005,12,Northern,22.97,25.41,20.47,4.94,547.3,6,0,1.62,920.2,469.3
AR,Arusha,2006,1,Northern,22.97,25.19,18.83,6.36,1078.7,18,3,0.0,920.2,469.3
AR,Arusha,2006,2,Northern,23.17,25.75,20.23,5.52,946.1,16,4,0.0,920.2,469.3
AR,Arusha,2006,3,Northern,22.67,24.67,18.88,5.79,1609.1,18,5,0.0,920.2,469.3
AR,Arusha,2006,4,Northern,21.97,24.29,18.66,5.63,2006.9,22,8,0.0,920.2,469.3
AR,Arusha,2006,5,Northern,20.97,24.25,17.72,6.53,1343.9,17,3,0.0,920.2,469.3
AR,Arusha,2006,6,Northern,20.47,23.32,17.82,5.49,415.7,8,1,0.0,920.2,469.3
AR,Arusha,2006,7,Northern,19.97,21.73,17.33,4.39,150.6,2,0,0.0,920.2,469.3
AR,Arusha,2006,8,Northern,20.47,23.83,16.69,7.13,150.6,4,0,0.0,920.2,469.3
AR,Arusha,2006,9,Northern,21.47,25.31,18.57,6.75,283.1,6,0,0.0,920.2,469.3
AR,Arusha,2006,10,Northern,21.97,24.29,18.16,6.12,548.3,6,0,0.0,920.2,469.3
AR,Arusha,2006,11,Northern,22.47,25.45,18.53,6.92,946.1,13,2,0.0,920.2,469.3
AR,Arusha,2006,12,Northern,22.67,26.39,20.6,5.79,1211.3,23,7,0.0,920.2,469.3
AR,Arusha,2007,1,Northern,24.67,27.71,21.6,6.11,928.7,16,4,0.0,920.2,469.3
AR,Arusha,2007,2,Northern,24.87,28.67,21.84,6.83,814.8,9,1,0.0,920.2,469.3
AR,Arusha,2007,3,Northern,24.37,26.88,21.38,5.5,1384.0,16,5,0.0,920.2,469.3
AR,Arusha,2007,4,Northern,23.67,26.16,20.96,5.2,1725.6,24,11,0.0,920.2,469.3
AR,Arusha,2007,5,Northern,22.67,24.72,20.32,4.4,1156.4,17,6,0.0,920.2,469.3
AR,Arusha,2007,6,Northern,22.17,24.47,19.38,5.09,359.5,8,2,0.0,920.2,469.3
AR,Arusha,2007,7,Northern,21.67,25.17,19.04,6.13,131.8,2,0,0.0,920.2,469.3
AR,Arusha,2007,8,Northern,22.17,25.44,17.91,7.54,131.8,1,0,0.0,920.2,469.3
AR,Arusha,2007,9,Northern,23.17,26.14,20.22,5.92,245.6,0,0,0.0,920.2,469.3
AR,Arusha,2007,10,Northern,23.67,27.31,21.48,5.83,473.3,8,0,0.0,920.2,469.3
AR,Arusha,2007,11,Northern,24.17,26.58,21.51,5.08,814.8,12,5,0.0,920.2,469.3
AR,Arusha,2007,12,Northern,24.37,28.01,21.87,6.15,1042.5,10,1,0.0,920.2,469.3
AR,Arusha,2008,1,Northern,23.09,25.77,20.7,5.08,894.8,15,1,0.0,920.2,469.3
AR,Arusha,2008,2,Northern,23.29,26.05,20.27,5.78,785.2,10,2,0.0,920.2,469.3
AR,Arusha,2008,3,Northern,22.79,25.27,19.18,6.1,1333.2,18,5,0.0,920.2,469.3
AR,Arusha,2008,4,Northern,22.09,24.45,19.45,4.99,1662.0,23,8,0.0,920.2,469.3
AR,Arusha,2008,5,Northern,21.09,24.41,17.72,6.69,1114.0,14,2,0.0,920.2,469.3
AR,Arusha,2008,6,Northern,20.59,23.57,15.58,7.99,346.8,11,0,0.0,920.2,469.3
AR,Arusha,2008,7,Northern,20.09,22.01,17.19,4.82,127.6,0,0,0.0,920.2,469.3
AR,Arusha,2008,8,Northern,20.59,22.13,17.32,4.81,127.6,2,0,0.0,920.2,469.3
AR,Arusha,2008,9,Northern,21.59,24.6,19.7,4.91,237.2,4,1,0.0,920.2,469.3
AR,Arusha,2008,10,Northern,22.09,25.55,19.49,6.06,456.4,7,2,0.0,920.2,469.3
AR,Arusha,2008,11,Northern,22.59,24.36,19.8,4.57,785.2,6,1,0.0,920.2,469.3
AR,Arusha,2008,12,Northern,22.79,25.31,19.76,5.55,1004.4,15,3,0.0,920.2,469.3
AR,Arusha,2009,1,Northern,23.8,26.82,21.08,5.74,441.4,5,0,1.93,920.2,469.3
AR,Arusha,2009,2,Northern,24.0,28.38,22.13,6.25,388.5,4,0,1.92,920.2,469.3
AR,Arusha,2009,3,Northern,23.5,25.73,19.9,5.83,653.2,6,0,1.98,920.2,469.3
AR,Arusha,2009,4,Northern,22.8,24.97,18.87,6.1,812.0,14,4,1.99,920.2,469.3
AR,Arusha,2009,5,Northern,21.8,23.63,18.88,4.75,547.3,6,1,1.96,920.2,469.3
AR,Arusha,2009,6,Northern,21.3,23.01,18.51,4.5,176.8,1,0,1.73,920.2,469.3
AR,Arusha,2009,7,Northern,20.8,24.0,16.64,7.37,70.9,1,0,1.06,920.2,469.3
AR,Arusha,2009,8,Northern,21.3,24.8,17.57,7.22,70.9,1,0,1.06,920.2,469.3
AR,Arusha,2009,9,Northern,22.3,26.05,18.43,7.63,123.8,1,0,1.56,920.2,469.3
AR,Arusha,2009,10,Northern,22.8,26.81,19.81,7.0,229.7,2,0,1.81,920.2,469.3
AR,Arusha,2009,11,Northern,23.3,26.9,20.27,6.63,388.5,5,0,1.92,920.2,469.3
AR,Arusha,2009,12,Northern,23.5,26.89,19.37,7.52,494.4,4,1,1.95,920.2,469.3
AR,Arusha,2010,1,Northern,22.55,24.61,19.79,4.81,845.7,15,3,0.0,920.2,469.3
AR,Arusha,2010,2,Northern,22.75,24.74,19.66,5.09,742.2,9,0,0.0,920.2,469.3
AR,Arusha,2010,3,Northern,22.25,24.68,19.43,5.25,1259.6,20,4,0.0,920.2,469.3
AR,Arusha,2010,4,Northern,21.55,25.67,18.81,6.86,1570.0,21,8,0.0,920.2,469.3
AR,Arusha,2010,5,Northern,20.55,23.1,18.11,4.99,1052.6,14,1,0.0,920.2,469.3
AR,Arusha,2010,6,Northern,20.05,23.14,15.71,7.43,328.4,5,0,0.0,920.2,469.3
AR,Arusha,2010,7,Northern,19.55,22.24,16.31,5.93,121.4,0,0,0.0,920.2,469.3
AR,Arusha,2010,8,Northern,20.05,23.01,17.07,5.93,121.4,3,1,0.0,920.2,469.3
AR,Arusha,2010,9,Northern,21.05,23.58,18.03,5.55,224.9,6,0,0.0,920.2,469.3
AR,Arusha,2010,10,Northern,21.55,24.48,18.4,6.08,431.8,9,0,0.0,920.2,469.3
AR,Arusha,2010,11,Northern,22.05,26.39,20.38,6.01,742.2,10,2,0.0,920.2,469.3
AR,Arusha,2010,12,Northern,22.25,24.65,18.65,6.0,949.2,15,2,0.0,920.2,469.3
AR,Arusha,2011,1,Northern,22.32,25.02,18.71,6.3,458.4,10,0,1.82,920.2,469.3
AR,Arusha,2011,2,Northern,22.52,27.16,19.61,7.54,403.3,6,0,1.8,920.2,469.3
AR,Arusha,2011,3,Northern,22.02,26.46,17.45,9.01,678.6,8,2,1.86,920.2,469.3
AR,Arusha,2011,4,Northern,21.32,25.48,19.72,5.76,843.7,9,3,1.88,920.2,469.3
AR,Arusha,2011,5,Northern,20.32,24.02,17.29,6.73,568.5,9,2,1.84,920.2,469.3
AR,Arusha,2011,6,Northern,19.82,22.91,17.36,5.55,183.1,5,1,1.61,920.2,469.3
AR,Arusha,2011,7,Northern,19.32,23.33,15.31,8.02,73.0,1,0,0.94,920.2,469.3
AR,Arusha,2011,8,Northern,19.82,22.74,17.04,5.69,73.0,3,0,0.94,920.2,469.3
